flight_id,airline_code,flight_number,origin,destination,scheduled_departure,scheduled_arrival,terminal_id,gate,aircraft_type,scheduled_passengers
AA242-2026-06-13-0,AA,AA854,HUB,AAA,2026-06-13T05:30:00,2026-06-13T11:30:00,T2,T2-08,A380,124
EE323-2026-06-13-1,EE,EE338,HUB,EEE,2026-06-13T18:00:00,2026-06-13T23:00:00,T1,T1-03,A320,367
BB703-2026-06-13-2,BB,BB384,HUB,GGG,2026-06-13T22:45:00,2026-06-13T23:45:00,T2,T2-15,A350,296
CC444-2026-06-13-3,CC,CC204,HUB,AAA,2026-06-13T13:15:00,2026-06-13T17:15:00,T2,T2-25,A320,263
CC227-2026-06-13-4,CC,CC487,HUB,AAA,2026-06-13T13:00:00,2026-06-13T18:00:00,T4,T4-18,B777,401
EE777-2026-06-13-5,EE,EE333,HUB,GGG,2026-06-13T16:20:00,2026-06-13T19:20:00,T1,T1-02,A320,199
AA954-2026-06-13-6,AA,AA473,HUB,BBB,2026-06-13T17:30:00,2026-06-13T20:30:00,T4,T4-21,B777,187
CC573-2026-06-13-7,CC,CC488,HUB,CCC,2026-06-13T07:15:00,2026-06-13T13:15:00,T2,T2-06,A380,192
CC510-2026-06-13-8,CC,CC374,HUB,AAA,2026-06-13T06:20:00,2026-06-13T08:20:00,T1,T1-11,A380,241
BB371-2026-06-13-9,BB,BB242,HUB,BBB,2026-06-13T20:45:00,2026-06-13T23:45:00,T4,T4-05,A380,355
CC241-2026-06-13-10,CC,CC621,HUB,DDD,2026-06-13T18:45:00,2026-06-13T19:45:00,T3,T3-08,A320,136
BB490-2026-06-13-11,BB,BB710,HUB,DDD,2026-06-13T10:45:00,2026-06-13T15:45:00,T1,T1-13,B777,363
AA400-2026-06-13-12,AA,AA545,HUB,BBB,2026-06-13T08:30:00,2026-06-13T12:30:00,T3,T3-04,A320,214
EE619-2026-06-13-13,EE,EE723,HUB,BBB,2026-06-13T10:10:00,2026-06-13T12:10:00,T3,T3-21,B777,162
